code,section,conflict_fr,econ_fr,humint_fr,morality_fr,politics,economy,crime,social_issues,intl_relations,sports,science_tech,disasters_accidents,freak_news,animals,other_soft_news
8743,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35301,nacional,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24694,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33469,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30541,magazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31400,nacional,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
29775,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14478,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10881,internacional,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21864,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10887,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4130,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26814,nacional,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
24286,deportes,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
24260,deportes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24184,economia,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3938,nacional,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38907,internacional,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
13752,deportes,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27807,internacional,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37441,nacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23947,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38257,nacional,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14374,economia,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21432,tendencias,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12906,internacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18526,internacional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4403,internacional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21947,nacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5690,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22042,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27128,nacional,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1946,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23498,internacional,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17977,internacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6356,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13972,internacional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2752,economia,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
18796,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6176,internacional,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37891,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17855,internacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6211,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23157,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29575,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16728,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1708,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36431,nacional,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23106,nacional,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1663,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
37988,magazine,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
18866,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36861,deportes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31922,nacional,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
31417,internacional,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2933,nacional,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
35491,deportes,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
15465,internacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6558,nacional,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8159,magazine,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
17335,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33428,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11119,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28185,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2317,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24808,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34873,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37840,nacional,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33579,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21704,internacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4266,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18279,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22071,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21115,internacional,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27419,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14635,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7367,magazine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
969,internacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1995,internacional,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31336,deportes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26428,internacional,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
